customer_id,name,email,city,join_date
1,Allison Hill,jillrhodes@miller.com,New Carolyn,2025-06-29
2,Matthew Gardner,zlawrence@blake.biz,Joshuaborough,2023-08-01
3,James Howard,lindsay78@gmail.com,Millerport,2023-10-18
4,Michele Williams,tracie31@ramirez-reid.com,West Michael,2022-12-28
5,Melinda Jones,frankgray@watts.com,Port Antonio,2023-05-28
6,Austin Gentry,dianafoster@hotmail.com,Thomasberg,2022-10-26
7,Kimberly Burgess,icox@hotmail.com,Daviston,2021-08-26
8,Christopher Becker,djames@king.com,Kaylamouth,2021-09-01
9,Christopher Smith,williamrodriguez@hotmail.com,Meaganhaven,2022-05-30
10,Phillip Ryan,tracy15@allen-allen.org,North Jessicaland,2025-04-02
11,Betty Alvarez,allison96@hickman.com,Raymondstad,2024-06-12
12,Jocelyn Wright,andrew83@robinson.com,North Micheleland,2025-02-03
13,Michael Lewis,esanchez@lee-davis.biz,Rodneymouth,2021-03-07
14,Victoria Garcia,lauren13@gmail.com,New Shane,2024-04-22
15,Joel Baxter,jmorton@williams.com,Port Melindaburgh,2024-03-05
16,Mr. James Brown,gallowayjoseph@yahoo.com,Rodneyside,2024-11-10
17,Edward Novak,brian97@calhoun.net,Port Jacobland,2022-09-20
18,Todd Hudson,barnesbrandy@stewart.com,West Randy,2023-04-10
19,Timothy Walls,khowell@jones.net,Davidstad,2021-04-21
20,Jaclyn Moore,contrerasangela@hotmail.com,East Josephville,2025-06-04
